rsi_period,oversold,overbought,score
35,90,10,8.336434941735904
70,80,5,-3.4190864416315385
70,80,10,-1.195229991392945
90,90,5,0.0
90,90,10,-15.889141604545227
90,95,10,19.3216376728907
90,95,5,0.0
70,95,5,-8.779985506164293
70,90,5,-8.666555278325026
70,95,10,6.941746987497343
